Hidden State,Observed State,Current Lane,Timestamp
Passenger,Stop,Right,18:42:27
Passenger,load,Right,18:42:27
Passenger,Go,Right,18:48:14
Passenger,Stop,Right,18:48:53
Passenger,Load,Right,18:48:53
Passenger,Go,Right,18:49:15
Vehicle,Stop,Right,18:49:20
Vehicle,Load,Right,18:49:20
Vehicle,Go,Right,18:49:22
Passenger,Stop,Right,18:49:33
Passenger,Load,Right,18:49:33
Passenger,Go,Right,18:49:41
Passenger,Stop,Right,18:50:32
Passenger,Load,Right,18:50:32
Passenger,Go,Right,18:50:41
Vehicle,Stop,Right,18:52:15
Vehicle,Go,Right,18:52:18
Vehicle,Stop,Right,18:53:45
Vehicle,Change Lane Left,Left,18:56:01
Vehicle,Change Lane Right,Middle,18:56:24
Passenger,Change Lane Right,Right,18:56:30
Passenger,Stop,Right,18:56:38
Passenger,Load,Right,18:56:38
Passenger,Go,Right,18:57:13
Passenger,Stop,Right,18:57:33
Passenger,Load,Right,18:57:33
Passenger,Go,Right,18:57:53
Vehicle,Stop,Right,18:58:40
Vehicle,Go,Right,18:58:44
Passenger,Stop,Right,19:00:10
Passenger,Load,Right,19:00:10
Passenger,Go,Right,19:00:22
Passenger,Stop,Right,19:00:58
Passenger,Load,Right,19:00:58
Passenger,Go,Right,19:01:12
Vehicle,Change Lane Left,Left,19:01:19
Vehicle,Change Lane Right,Right,00:00:00
Passenger,Change Lane Right,Right,19:02:30
Passenger,Stop,Right,19:02:32
Passenger,Load,Right,19:02:32
Passenger,Go,Right,19:02:54
Passenger,Stop,Right,19:03:06
Passenger,Load,Right,19:03:06
Passenger,Go,Right,19:04:12
Passenger,Stop,Right,19:04:31
Passenger,Go,Right,19:04:54
Vehicle,Change Lane Left,Left,19:05:15
Vehicle,Change Lane Right,Right,19:05:27
Passenger,Stop,Right,19:09:31
Passenger,Load,Right,19:09:31
Passenger,Go,Right,19:09:46
Vehicle,Change Lane Left,Left,19:11:54
Vehicle,Change Lane Right,Right,19:12:20
Vehicle,Change Lane Left,Left,19:13:03
Vehicle,Change Lane Right,Right,19:13:10
Vehicle,Change Lane Right,Right,19:19:15
Vehicle,Change Lane Left,Middle,19:19:41
Vehicle,Change Lane Right,Right,19:20:08
Passenger,Stop,Right,19:21:26
Passenger,Load,Right,19:21:26
Passenger,Go,Right,19:21:41
Vehicle,Change Lane Left,Middle,19:22:31
Vehicle,Change Lane Right,Right,19:22:41
Vehicle,Change Lane Left,Middle,19:23:02
Vehicle,Change Lane Right,Right,19:23:09
