Person ID,Waiting Time,Boarded
pass_2.0,5974.0,False
pass_3.0,5232.0,False
pass_4.0,205.0,True
pass_5.0,4706.0,False
pass_6.0,442.0,True
pass_2.1,249.0,True
pass_2.10,235.0,True
pass_2.11,170.0,True
pass_2.12,281.0,True
pass_2.13,14.0,True
pass_2.14,5960.0,False
pass_2.15,245.0,True
pass_2.16,125.0,True
pass_2.17,1.0,True
pass_2.18,5976.0,False
pass_2.19,39.0,True
pass_2.2,167.0,True
pass_2.3,5693.0,False
pass_2.4,3.0,True
pass_2.5,87.0,True
pass_2.6,16.0,True
pass_2.7,39.0,True
pass_2.8,6.0,True
pass_2.9,1.0,True
pass_3.1,5343.0,False
pass_3.10,5265.0,False
pass_3.11,5223.0,False
pass_3.12,5458.0,False
pass_3.13,5424.0,False
pass_3.14,5115.0,False
pass_3.15,5279.0,False
pass_3.16,4751.0,False
pass_3.17,5280.0,False
pass_3.18,5276.0,False
pass_3.19,4943.0,False
pass_3.2,5202.0,False
pass_3.3,4955.0,False
pass_3.4,5098.0,False
pass_3.5,4950.0,False
pass_3.6,5183.0,False
pass_3.7,4973.0,False
pass_3.8,5174.0,False
pass_3.9,5026.0,False
pass_4.1,3945.0,False
pass_4.10,4855.0,False
pass_4.11,3987.0,False
pass_4.12,4713.0,False
pass_4.13,4120.0,False
pass_4.14,4492.0,False
pass_4.15,4620.0,False
pass_4.16,4190.0,False
pass_4.17,4542.0,False
pass_4.18,3948.0,False
pass_4.19,4389.0,False
pass_4.2,4184.0,False
pass_4.3,4675.0,False
pass_4.4,4342.0,False
pass_4.5,4525.0,False
pass_4.6,4005.0,False
pass_4.7,4721.0,False
pass_4.8,5037.0,False
pass_4.9,4075.0,False
pass_5.1,3582.0,False
pass_5.10,3478.0,False
pass_5.11,3551.0,False
pass_5.12,4266.0,False
pass_5.13,3961.0,False
pass_5.14,3666.0,False
pass_5.2,3820.0,False
pass_5.3,3986.0,False
pass_5.4,3041.0,False
pass_5.5,4492.0,False
pass_5.6,3957.0,False
pass_5.7,4023.0,False
pass_5.8,3581.0,False
pass_5.9,2953.0,False
pass_6.1,392.0,True
pass_6.2,442.0,True
pass_6.3,383.0,True
pass_6.4,374.0,True
