Hidden State,Observed State,Current Lane,Timestamp,Trip ID
Passenger,Stop,Right,18:42:27,1
Passenger,load,Right,18:42:27,1
Passenger,Go,Right,18:48:14,1
Passenger,Stop,Right,18:48:53,1
Passenger,Load,Right,18:48:53,1
Passenger,Go,Right,18:49:15,1
Vehicle,Stop,Right,18:49:20,1
Vehicle,Load,Right,18:49:20,1
Vehicle,Go,Right,18:49:22,1
Passenger,Stop,Right,18:49:33,1
Passenger,Load,Right,18:49:33,1
Passenger,Go,Right,18:49:41,1
Passenger,Stop,Right,18:50:32,1
Passenger,Load,Right,18:50:32,1
Passenger,Go,Right,18:50:41,1
Vehicle,Stop,Right,18:52:15,1
Vehicle,Go,Right,18:52:18,1
Vehicle,Stop,Right,18:53:45,1
Vehicle,Change Lane Left,Left,18:56:01,1
Vehicle,Change Lane Right,Middle,18:56:24,1
Passenger,Change Lane Right,Right,18:56:30,1
Passenger,Stop,Right,18:56:38,1
Passenger,Load,Right,18:56:38,1
Passenger,Go,Right,18:57:13,1
Passenger,Stop,Right,18:57:33,1
Passenger,Load,Right,18:57:33,1
Passenger,Go,Right,18:57:53,1
Vehicle,Stop,Right,18:58:40,1
Vehicle,Go,Right,18:58:44,1
Passenger,Stop,Right,19:00:10,1
Passenger,Load,Right,19:00:10,1
Passenger,Go,Right,19:00:22,1
Passenger,Stop,Right,19:00:58,1
Passenger,Load,Right,19:00:58,1
Passenger,Go,Right,19:01:12,1
Vehicle,Change Lane Left,Left,19:01:19,1
Vehicle,Change Lane Right,Right,00:00:00,1
Passenger,Change Lane Right,Right,19:02:30,1
Passenger,Stop,Right,19:02:32,1
Passenger,Load,Right,19:02:32,1
Passenger,Go,Right,19:02:54,1
Passenger,Stop,Right,19:03:06,1
Passenger,Load,Right,19:03:06,1
Passenger,Go,Right,19:04:12,1
Passenger,Stop,Right,19:04:31,1
Passenger,Go,Right,19:04:54,1
Vehicle,Change Lane Left,Left,19:05:15,1
Vehicle,Change Lane Right,Right,19:05:27,1
Passenger,Stop,Right,19:09:31,1
Passenger,Load,Right,19:09:31,1
Passenger,Go,Right,19:09:46,1
Vehicle,Change Lane Left,Left,19:11:54,1
Vehicle,Change Lane Right,Right,19:12:20,1
Vehicle,Change Lane Left,Left,19:13:03,1
Vehicle,Change Lane Right,Right,19:13:10,1
Vehicle,Change Lane Right,Right,19:19:15,1
Vehicle,Change Lane Left,Middle,19:19:41,1
Vehicle,Change Lane Right,Right,19:20:08,1
Passenger,Stop,Right,19:21:26,1
Passenger,Load,Right,19:21:26,1
Passenger,Go,Right,19:21:41,1
Vehicle,Change Lane Left,Middle,19:22:31,1
Vehicle,Change Lane Right,Right,19:22:41,1
Vehicle,Change Lane Left,Middle,19:23:02,1
Vehicle,Change Lane Right,Right,19:23:09,1
Passenger,Stop,Right,19:23:37,1
Passenger,Load,Right,19:23:37,1
Passenger,Go,Right,19:23:41,1
Stoplight,Stop,Right,19:26:18,1
Stoplight,Go,Right,19:28:14,1
Vehicle,Change Lane Left,Middle,19:28:30,1
Vehicle,Change Lane Right,Right,19:29:02,1
Vehicle,Change Lane Left,Middle,19:29:14,1
Vehicle,Change Lane Right,Right,19:29:27,1
Stoplight,Stop,Right,19:29:53,1
Stoplight,Go,Right,19:30:24,1
Vehicle,Change Lane Left,Middle,19:30:50,1
Vehicle,Change Lane Right,Right,19:30:55,1
Vehicle,Change Lane Left,Middle,19:31:04,1
Stoplight,Stop,Middle,19:31:36,1
Stoplight,Go,Middle,19:31:52,1
Passenger,Change Lane Right,Right,19:32:47,1
